Year,Match Number,Date,Stadium,City,Match,Match Details,Batting team,Total Score,Total Wicket,Batsman Names,Out/Not Out,Total Runs,Balls Played,Fours,Sixes,Strike Rate
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Jonny Bairstow,c Daryl Mitchell b Santner,33,35,4,1,94.29
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Dawid Malan,c Daryl Mitchell b Santner,33,35,4,1,94.29
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Joe Root,b Glenn Phillips,77,86,4,1,89.53
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Harry Brook,c Conway b Rachin Ravindra,25,16,4,1,156.25
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Moeen Ali,b Glenn Phillips,11,17,1,0,64.71
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Jos Buttler,c Latham b Matt Henry,43,42,2,2,102.38
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Liam Livingstone,c Matt Henry b Boult,20,22,3,0,90.91
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Sam Curran,c Latham b Matt Henry,14,19,0,0,73.68
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Chris Woakes,c Will Young b Santner,11,12,1,0,91.67
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Adil Rashid,not out,15,13,0,1,115.38
2023,1st Match ,October 05 2023,Narendra Modi Stadium, Ahmedabad,England vs New Zealand,"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup",England,282,9,Mark Wood,not out,13,14,0,0,92.86
